avg_global_supply_usd,avg_supply_on_chain_usd,blockchain,chain_supply_share_pct,currency,fee_per_supply_dollar,gas_fees_native,gas_fees_usd,token_symbol,transfer_count,transfer_volume_usd,unique_receivers,unique_senders,velocity,week
1442352,51891.857142857145,ethereum,3.5977249064623025,EUR,4.307854965326525e-05,0.001001888753249816,2.2354259445287186,VEUR,11,68509.00278642464,6,5,1.3202264586102759,2026-04-06
1442352,1277.7142857142858,polygon,0.0885854691305788,EUR,3.836356184740275e-06,0.05359658550759045,0.0049017671023310035,VEUR,5,25.119463494993635,4,4,0.019659687440178382,2026-04-06
20977950.42857143,50069,arbitrum,0.23867441278632878,SGD,1.492099369578002e-06,3.3783186790000003e-05,0.07470792333540098,XSGD,20,210.61190438396267,15,10,0.004206433209849661,2026-04-06
20977950.42857143,2109397,avalanche_c,10.05530548459613,SGD,3.5987045386390115e-06,0.8354493924961957,7.591096557691515,XSGD,7490,1162107.8707439406,118,105,0.5509194669111318,2026-04-06
20977950.42857143,15218677.57142857,ethereum,72.54606508508631,SGD,8.460742740343767e-06,0.05847273606581521,128.7613157800968,XSGD,505,5946687.25064087,150,127,0.3907492765209203,2026-04-06
20977950.42857143,2287050.8571428573,polygon,10.902165418543238,SGD,6.0947933049607055e-06,154.5624100259814,13.93910225221893,XSGD,3154,5935934.114838337,382,368,2.59545348381711,2026-04-06
30498524.14285714,26935.428571428572,arbitrum,0.08831715411952792,CHF,1.133359065347112e-06,1.3670661532e-05,0.030527512150438186,ZCHF,5,843.0426503381717,3,3,0.03129865367103975,2026-04-06
30498524.14285714,1201482.7142857143,base,3.939478214283053,CHF,3.2805513119790855e-06,0.0018233069778548537,3.941525694670193,ZCHF,968,17749172.416149072,127,116,14.772723906145432,2026-04-06
30498524.14285714,27771324.42857143,ethereum,91.05792889678423,CHF,1.8096072535269208e-05,0.2313314614279182,502.55190125992226,ZCHF,2256,25353797.82603179,328,297,0.91294881852835,2026-04-06
30498524.14285714,1386756.142857143,gnosis,4.546961473812581,CHF,4.016410442303989e-08,0.05569665890101474,0.05569781853100631,ZCHF,2485,829436.0130035926,105,97,0.5981123770576563,2026-04-06
30498524.14285714,77148.28571428571,polygon,0.2529574393597472,CHF,4.2932200150299896e-08,0.03574736207917404,0.0033121456435382364,ZCHF,1,12.635036957483099,1,1,0.0001637759911383675,2026-04-06
14697399.285714285,2864381.285714286,base,19.48903496483513,AUD,1.4625178321337509e-05,0.02025706683491023,41.892087083873434,AUDD,8175,835520.5935869763,161,144,0.2916932175733804,2026-03-30
14697399.285714285,4467462.428571428,ethereum,30.39627856415219,AUD,8.77707391124906e-06,0.019087169380463884,39.21124793129965,AUDD,99,80335.50270484085,29,24,0.017982356648610906,2026-03-30
80591831.57142857,2298122.714285714,gnosis,2.8515578681803344,BRL,2.8534208004639493e-08,0.0655693199168699,0.06557511154961526,BRLA,508,281550.61477388564,78,80,0.12251330750255221,2026-03-30
80591831.57142857,14646777.285714285,polygon,18.174022106363026,BRL,5.057896031584172e-06,803.9184179061558,74.08187670891148,BRLA,17144,23220000.77985079,3487,3461,1.585331730448198,2026-03-30
1483861362.7142856,900949.8571428572,avalanche_c,0.06071657904043245,BRL,7.068973846262308e-10,7.194793208325801e-05,0.000636879097693662,BRZ,5,0.07544913886762483,1,1,8.37439933748293e-08,2026-03-30
1483861362.7142856,10037278,bnb,0.6764296350192559,BRL,1.11494655625552e-07,0.001878674247574235,1.1191028540279293,BRZ,138,477.72128127364255,35,32,4.759470458760259e-05,2026-03-30
1483861362.7142856,14000000,ethereum,0.9434843679999283,BRL,6.125390901673294e-08,0.00041312376082889896,0.8575547262342612,BRZ,7,58669.16086900713,7,7,0.004190654347786224,2026-03-30
1483861362.7142856,49886467.428571425,polygon,3.3619358709710507,BRL,1.177758389752101e-06,637.2022929126612,58.75420554909491,BRZ,15214,4274675.719185782,1634,1632,0.08568808214986076,2026-03-30
2301032,1363500,base,59.256020776764515,CAD,8.165392078384515e-05,0.05385278729857822,111.33512098877287,CADC,19362,8776118.006949725,385,352,6.436463518114943,2026-03-30
2301032,853852,ethereum,37.10735009334942,CAD,2.1723908232320222e-06,0.00090076122626984,1.8549002491983086,CADC,29,755.7590608702883,13,12,0.0008851171641810153,2026-03-30
2301032,68580,polygon,2.9804018370887495,CAD,3.0430567201706727e-06,2.2416501541415927,0.20869282986930474,CADC,29,601.6723462269945,14,11,0.008773291721011876,2026-03-30
